,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
151,134482_27754576,1,20/09/11,14:19:46.23,BRONZE,51.1099,38.1099,296.4,93.6,110.79,0.40813,0.9681,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
153,134354_59221243,1,20/08/06,13:50:56.43,BRONZE,157.25,47.75,50.99,28.79,107.35,0.39728,0.7921,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
155,134327_10548129,0,20/07/28,08:17:51.99,GOLD,117.5554,-24.8475,30.8,12.0,42024.0,0.3931,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
156,134207_33533447,1,20/06/20,03:03:32.28,BRONZE,162.11,11.9499,40.8,20.99,113.5,0.32464,2.3206,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
158,134191_17593623,1,20/06/15,14:49:17.37,GOLD,142.9499,3.66,73.19,43.19,496.36,0.82832,0.2894,"IceCube Gold event. The position error is statistical only, there is no systematic added."
160,134187_72386329,1,20/06/14,12:41:21.41,BRONZE,33.84,31.6099,242.4,141.0,115.05,0.41553,1.4846,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
162,134139_35473338,1,20/05/30,07:54:29.43,GOLD,255.37,26.6099,160.19,65.4,82.186,0.5917,1.9521,"IceCube Gold event. The position error is statistical only, there is no systematic added."
164,134116_58596690,1,20/05/23,02:30:07.59,BRONZE,338.6399,1.75,333.59,218.4,105.08,0.24998,4.9079,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
166,134081_58268464,1,20/05/12,07:31:27.75,BRONZE,295.18,15.7899,97.79,54.0,108.77,0.32159,2.6128,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
168,134013_16038252,1,20/04/25,23:26:46.34,BRONZE,100.0999,53.57,178.2,90.6,134.87,0.48106,0.5218,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
170,133985_60770138,1,20/04/21,00:35:24.24,BRONZE,87.93,8.23,152.99,89.39,126.97,0.33312,2.7906,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
172,133945_24635982,1,20/04/10,23:19:55.48,BRONZE,242.58,11.6099,622.19,390.59,110.0,0.30535,2.5451,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
