,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
230,136348_65788242,1,22/02/21,00:42:19.11,GOLD,287.8399,20.7399,217.79,135.0,157.43,0.67267,0.3596,"IceCube Gold event. The position error is statistical only, there is no systematic added."
232,136249_27650203,1,22/02/05,00:22:39.739625,BRONZE,216.12,15.56,185.4,104.4,109.58,0.32225,2.5242,"IceCube Bronze event. The position error is statistical only, there is no systematic added.  This was missed in GCN because of a Network problem. Please note that link (far left) is not available."
233,136260_4895987,0,22/02/05,20:08:10.595192,GOLD,266.804401,-3.57495,30.8,12.0,215.88,0.59235,0.7344,"IceCube Gold event. The position error is statistical only, there is no systematic added.  This was missed in GCN because of a Network problem. Please note that link (far left) is not available."
234,136249_27650203,0,22/02/05,00:22:39.739625,BRONZE,215.906053,15.264994,74.54,29.03,109.58,0.32225,2.5242,"IceCube Bronze event. The position error is statistical only, there is no systematic added.  This was missed in GCN because of a Network problem. Please note that link (far left) is not available."
235,136241_22093816,1,22/02/02,11:48:38.58,GOLD,21.3599,-3.8799,43.79,27.0,150.94,0.20564,1.9253,"IceCube Gold event. The position error is statistical only, there is no systematic added."
237,136170_48281000,1,22/01/15,12:11:39.75,BRONZE,357.4499,25.28,73.79,46.8,109.95,0.36966,2.0893,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
239,136057_6147475,1,21/12/16,23:41:13.93,BRONZE,199.34,17.0399,93.0,55.2,112.54,0.34634,2.3928,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
241,136055_348073,1,21/12/16,07:07:38.13,BRONZE,316.05,15.7899,111.6,68.39,113.01,0.34356,2.3692,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
243,136015_21306805,1,21/12/08,20:02:51.09,BRONZE,114.5199,15.56,127.79,76.8,171.08,0.50234,1.1965,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
245,135936_74588253,1,21/11/25,06:22:21.55,BRONZE,43.59,22.5899,148.79,87.59,117.49,0.38994,1.9729,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
247,135930_15193553,1,21/11/23,14:25:22.60,BRONZE,265.5199,7.33,162.59,90.6,142.07,0.3558,2.5668,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
249,135908_43512334,0,21/11/17,03:50:57.18,GOLD,225.9338,-0.2016,30.8,12.0,195.03,0.5259,1.1655,"IceCube Gold event. The position error is statistical only, there is no systematic added."
250,135906_30719293,1,21/11/16,10:33:16.05,BRONZE,42.45,0.1499,71.99,44.39,161.32,0.40161,1.9404,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
252,135832_55176071,1,21/10/23,08:31:18.31,BRONZE,253.3,-1.7199,66.0,39.0,120.64,0.32606,3.2048,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
254,135736_30987826,1,21/09/22,18:17:20.94,GOLD,60.7299,-4.1799,39.0,22.8,750.76,0.92534,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
256,135591_36044887,1,21/08/11,02:02:44.03,GOLD,270.79,25.28,56.16,32.22,217.67,0.65826,0.6939,"IceCube Gold event. The position error is statistical only, there is no systematic added."
258,135553_7213992,1,21/07/30,22:12:40.62,BRONZE,105.73,14.7899,84.59,43.79,109.42,0.3193,2.5421,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
260,135440_3139778,1,21/06/29,18:09:44.22,BRONZE,340.75,12.9399,78.0,46.2,120.95,0.35083,2.0845,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
262,135363_69917294,1,21/06/08,03:41:00.97,BRONZE,337.41,18.37,352.79,161.39,105.17,0.3147,3.0747,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
264,135302_36915486,0,21/05/19,20:40:02.93,BRONZE,167.6902,-25.8725,129.06,36.18,320.04,0.33167,0.9669,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
265,135292_56063172,1,21/05/16,14:38:20.33,BRONZE,91.76,9.5199,46.8,25.79,109.12,0.2886,3.0988,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
267,135270_69188496,0,21/05/10,04:50:10.73,BRONZE,267.9106,4.0004,30.8,12.0,113.03,0.28151,3.9437,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
268,135113_19489408,0,21/03/22,02:34:09.17,BRONZE,85.5066,-44.7217,39.13,14.09,54.853,0.45899,1.3823,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
269,134994_1103075,0,21/02/13,18:40:24.51,GOLD,155.2582,-35.3994,71.4,22.94,1450.4,0.6073,0.4362,"IceCube Gold event. The position error is statistical only, there is no systematic added."
270,134979_17138286,1,21/02/10,11:53:55.64,GOLD,206.06,4.78,52.8,31.8,287.41,0.65464,0.4645,"IceCube Gold event. The position error is statistical only, there is no systematic added."
272,134818_73718836,1,20/12/22,00:56:16.14,GOLD,206.37,13.4399,39.6,22.19,185.78,0.5337,1.0081,"IceCube Gold event. The position error is statistical only, there is no systematic added."
274,134817_29175858,1,20/12/21,12:36:53.45,GOLD,261.6899,41.81,109.2,61.2,174.54,0.56429,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
276,134777_8912764,1,20/12/09,10:15:43.94,GOLD,6.86,-9.25,65.4,38.4,418.6,0.19226,0.7698,"IceCube Gold event. The position error is statistical only, there is no systematic added."
278,134751_31476488,1,20/11/30,20:21:46.47,GOLD,30.5399,-12.0999,70.79,41.39,203.47,0.14696,1.3222,"IceCube Gold event. The position error is statistical only, there is no systematic added."
