Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1424-418,2021-Oct-23,59510.0,"5.450E-01,-6.275E-01,4.948E-01",Y,0%,5.5,2.247,0.008,0.105,0.2° ± 0.5°
1424-418,2021-Oct-23,59510.0,"5.450E-01,-6.275E-01,4.948E-01",Y,0%,9.0,2.493,0.008,0.317,0.2° ± 0.4°
1424-418,2021-Oct-08,59495.0,"6.304E-01,-6.485E-01,4.293E-01",Y,0.1%,5.5,2.43,0.012,-0.013,0.1° ± 0.5°
1424-418,2021-Oct-08,59495.0,"6.304E-01,-6.485E-01,4.293E-01",Y,0.1%,9.0,2.526,0.012,0.171,0° ± 0.4°
1424-418,2021-Jul-24,59419.0,"8.152E-01,-1.066E+00,5.577E-01",Y,0%,5.5,2.146,0.008,-0.24,-0.3° ± 0.9°
1424-418,2021-Jul-24,59419.0,"8.152E-01,-1.066E+00,5.577E-01",Y,0%,9.0,2.022,0.008,-0.002,0.1° ± 0.4°
1424-418,2021-Jun-01,59366.0,"6.221E-01,-5.155E-01,1.551E-01",Y,0.1%,5.5,2.116,0.013,-0.286,0.5° ± 0.6°
1424-418,2021-Jun-01,59366.0,"6.221E-01,-5.155E-01,1.551E-01",Y,0.1%,9.0,1.868,0.013,-0.219,0.4° ± 0.6°
1424-418,2021-May-01,59335.0,"5.843E-01,-4.420E-01,1.333E-01",Y,0.1%,5.5,2.139,0.013,-0.245,-0.5° ± 0.6°
1424-418,2021-May-01,59335.0,"5.843E-01,-4.420E-01,1.333E-01",Y,0.1%,9.0,1.923,0.013,-0.188,-0.3° ± 0.5°
1424-418,2021-Apr-11,59315.0,"4.972E-01,-2.135E-01,-4.252E-05",Y,0.1%,9.0,1.965,0.009,-0.214,0.6° ± 0.7°
1424-418,2021-Apr-11,59315.0,"4.972E-01,-2.135E-01,-4.252E-05",Y,0.1%,5.5,2.183,0.009,-0.214,0.5° ± 0.6°
1424-418,2021-Feb-08,59253.0,"3.418E-01,2.856E-01,-3.312E-01",Y,0%,5.5,2.353,0.034,-0.205,0.3° ± 0.8°
1424-418,2021-Feb-08,59253.0,"3.418E-01,2.856E-01,-3.312E-01",Y,0%,9.0,2.055,0.034,-0.346,0.1° ± 0.5°
1424-418,2021-Jan-30,59244.0,"4.285E-01,-8.980E-02,-2.260E-02",Y,0%,5.5,2.237,0.011,-0.123,0.6° ± 0.8°
1424-418,2021-Jan-30,59244.0,"4.285E-01,-8.980E-02,-2.260E-02",Y,0%,9.0,2.1,0.011,-0.133,0.5° ± 0.8°
1424-418,2020-Dec-19,59202.0,"3.248E-01,1.576E-01,-1.715E-01",Y,0%,5.5,2.226,0.012,-0.096,0.4° ± 0.8°
1424-418,2020-Dec-19,59202.0,"3.248E-01,1.576E-01,-1.715E-01",Y,0%,9.0,2.085,0.012,-0.17,1° ± 1.4°
1424-418,2020-Dec-03,59186.0,"5.076E-01,-2.541E-01,5.209E-02",Y,0%,5.5,2.229,0.008,-0.177,0° ± 0.6°
1424-418,2020-Dec-03,59186.0,"5.076E-01,-2.541E-01,5.209E-02",Y,0%,9.0,2.054,0.008,-0.155,-0.2° ± 0.5°
1424-418,2020-Nov-11,59164.0,"6.446E-01,-4.718E-01,9.672E-02",Y,0.1%,5.5,2.23,0.012,-0.329,2.7° ± 3.7°
1424-418,2020-Nov-11,59164.0,"6.446E-01,-4.718E-01,9.672E-02",Y,0.1%,9.0,1.916,0.012,-0.287,3.8° ± 5°
1424-418,2020-Oct-26,59148.0,"6.184E-01,-5.267E-01,1.720E-01",Y,0.1%,9.0,1.872,0.007,-0.198,3.5° ± 4.6°
1424-418,2020-Oct-26,59148.0,"6.184E-01,-5.267E-01,1.720E-01",Y,0.1%,5.5,2.102,0.007,-0.272,2.2° ± 3.3°
1424-418,2020-Sep-19,59111.0,"6.817E-01,-6.024E-01,2.243E-01",Y,0%,5.5,2.284,0.012,-0.27,-0.2° ± 0.2°
1424-418,2020-Sep-19,59111.0,"6.817E-01,-6.024E-01,2.243E-01",Y,0%,9.0,2.047,0.012,-0.174,-0.2° ± 0.2°
1424-418,2020-Sep-14,59106.0,"6.773E-01,-6.894E-01,3.019E-01",Y,0%,9.0,1.969,0.008,-0.113,1.1° ± 1.8°
1424-418,2020-Sep-14,59106.0,"6.773E-01,-6.894E-01,3.019E-01",Y,0%,5.5,2.15,0.008,-0.242,0.7° ± 1.1°
1424-418,2020-Sep-08,59100.0,"6.955E-01,-6.997E-01,2.933E-01",Y,0%,5.5,2.179,0.009,-0.265,0.7° ± 1.2°
1424-418,2020-Sep-08,59100.0,"6.955E-01,-6.997E-01,2.933E-01",Y,0%,9.0,1.972,0.009,-0.14,1.2° ± 1.9°
1424-418,2020-Aug-16,59077.0,"7.846E-01,-7.655E-01,2.611E-01",Y,0.1%,5.5,2.296,0.021,-0.379,-0.6° ± 0.7°
1424-418,2020-Aug-16,59077.0,"7.846E-01,-7.655E-01,2.611E-01",Y,0.1%,9.0,1.958,0.021,-0.267,-0.2° ± 1°
1424-418,2020-Jul-18,59048.0,"7.727E-01,-8.061E-01,3.437E-01",Y,0%,5.5,2.314,0.006,-0.297,0.1° ± 0.5°
1424-418,2020-Jul-18,59048.0,"7.727E-01,-8.061E-01,3.437E-01",Y,0%,9.0,2.072,0.006,-0.15,0.3° ± 0.5°
1424-418,2020-Jun-02,59002.0,"6.926E-01,-5.317E-01,1.871E-01",Y,0.2%,5.5,2.521,0.009,-0.255,0.2° ± 0.4°
1424-418,2020-Jun-02,59002.0,"6.926E-01,-5.317E-01,1.871E-01",Y,0.2%,9.0,2.268,0.009,-0.175,0.2° ± 0.3°
1424-418,2020-May-14,58983.0,"8.024E-01,-7.184E-01,2.663E-01",Y,0%,9.0,2.287,0.005,-0.21,1.4° ± 2.3°
1424-418,2020-May-14,58983.0,"8.024E-01,-7.184E-01,2.663E-01",Y,0%,5.5,2.609,0.005,-0.324,0.9° ± 1.2°
