Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1424-418,2011-Nov-27,55892.0,"4.264E-01,-2.619E-01,3.174E-01",Y,0.1%,9.0,2.921,0.02,0.344,1.3° ± 1.8°
1424-418,2011-Oct-14,55848.0,"4.804E-01,-3.181E-01,3.526E-01",Y,0.1%,5.5,2.743,0.013,0.204,0.3° ± 0.5°
1424-418,2011-Oct-14,55848.0,"4.804E-01,-3.181E-01,3.526E-01",Y,0.1%,9.0,3.147,0.013,0.355,0.2° ± 0.3°
1424-418,2011-May-17,55698.0,"3.607E-01,-2.265E-02,6.971E-02",Y,0.1%,5.5,2.411,0.02,0.081,0.1° ± 0.3°
1424-418,2011-May-17,55698.0,"3.607E-01,-2.265E-02,6.971E-02",Y,0.1%,9.0,2.527,0.02,0.11,0° ± 0.3°
1424-418,2011-May-05,55686.0,"3.092E-01,1.261E-01,-1.386E-02",Y,0.1%,5.5,2.483,0.016,0.106,0.4° ± 0.8°
1424-418,2011-May-05,55686.0,"3.092E-01,1.261E-01,-1.386E-02",Y,0.1%,9.0,2.612,0.016,0.1,0.8° ± 1.1°
1424-418,2009-Sep-08,55082.0,"8.489E-01,-1.136E+00,5.336E-01",Y,0.2%,5.5,1.997,0.016,-0.346,0.9° ± 0.9°
1424-418,2009-Sep-08,55082.0,"8.489E-01,-1.136E+00,5.336E-01",Y,0.2%,9.0,1.781,0.016,-0.118,0.4° ± 2.1°
1424-418,2009-Jun-26,55008.0,"6.399E-01,-6.221E-01,2.593E-01",Y,0.1%,5.5,2.096,0.022,-0.238,0.4° ± 0.6°
1424-418,2009-Jun-26,55008.0,"6.399E-01,-6.221E-01,2.593E-01",Y,0.1%,9.0,1.916,0.022,-0.127,0.3° ± 0.6°
1424-418,2009-May-18,54969.0,"6.402E-01,-5.248E-01,1.676E-01",Y,0.2%,5.5,2.206,0.009,-0.277,0.1° ± 0.5°
1424-418,2009-May-18,54969.0,"6.402E-01,-5.248E-01,1.676E-01",Y,0.2%,9.0,1.959,0.009,-0.205,0.1° ± 0.5°
